aluno_id,curso,semestre,situacao,cr,renda_familiar,modalidade
1,TI,2023.2,Formado,5.0,3-5 SM,Presencial
2,Pedagogia,2022.1,Ativo,4.63,Até 1 SM,EAD
3,Medicina,2024.1,Evadido,7.82,Até 1 SM,Presencial
4,Pedagogia,2023.1,Formado,8.24,3-5 SM,Presencial
5,Pedagogia,2023.1,Evadido,4.19,Acima 5 SM,Presencial
6,Direito,2022.1,Ativo,9.62,3-5 SM,Presencial
7,Medicina,2023.2,Ativo,4.31,Acima 5 SM,Presencial
8,Medicina,2023.2,Evadido,7.25,Até 1 SM,EAD
9,Medicina,2024.1,Ativo,8.25,Até 1 SM,EAD
10,Pedagogia,2022.1,Evadido,9.23,Acima 5 SM,Presencial
11,TI,2023.1,Formado,8.28,Até 1 SM,Presencial
12,Medicina,2023.2,Formado,8.81,Acima 5 SM,Presencial
13,Pedagogia,2022.1,Ativo,6.04,1-3 SM,Presencial
14,Direito,2023.2,Ativo,8.89,3-5 SM,Presencial
15,TI,2023.2,Trancado,4.48,1-3 SM,Presencial
16,Direito,2023.1,Formado,9.37,Acima 5 SM,Presencial
17,TI,2022.2,Ativo,7.29,3-5 SM,EAD
18,Pedagogia,2024.1,Formado,8.9,Acima 5 SM,Presencial
19,Engenharia,2024.1,Formado,6.71,3-5 SM,Presencial
20,TI,2023.1,Ativo,7.86,3-5 SM,EAD
21,Direito,2023.2,Ativo,7.16,3-5 SM,Presencial
22,Pedagogia,2022.1,Ativo,8.39,3-5 SM,Presencial
23,TI,2023.2,Ativo,4.49,Acima 5 SM,Presencial
24,Engenharia,2023.1,Ativo,4.36,3-5 SM,Presencial
25,Engenharia,2024.1,Formado,5.48,3-5 SM,EAD
26,Medicina,2023.2,Ativo,4.96,1-3 SM,Presencial
27,Medicina,2024.1,Ativo,9.23,Até 1 SM,Presencial
28,Direito,2022.1,Ativo,5.32,Até 1 SM,EAD
29,TI,2024.1,Ativo,9.86,1-3 SM,EAD
30,TI,2024.1,Formado,6.02,1-3 SM,EAD
31,Medicina,2022.2,Ativo,5.09,Acima 5 SM,Presencial
32,TI,2022.2,Ativo,8.74,Acima 5 SM,Presencial
33,TI,2022.2,Evadido,7.95,Acima 5 SM,EAD
34,Engenharia,2024.1,Ativo,6.99,1-3 SM,EAD
35,Medicina,2023.1,Ativo,7.33,1-3 SM,Presencial
36,Pedagogia,2024.1,Ativo,8.32,3-5 SM,Presencial
37,Medicina,2023.1,Ativo,5.37,Acima 5 SM,Presencial
38,Pedagogia,2023.1,Ativo,9.98,Acima 5 SM,EAD
39,Engenharia,2022.2,Ativo,9.85,Acima 5 SM,Presencial
40,Direito,2023.2,Ativo,7.9,Até 1 SM,Presencial
41,TI,2022.1,Formado,5.2,3-5 SM,Presencial
42,Engenharia,2022.2,Ativo,8.08,Acima 5 SM,Presencial
43,TI,2022.2,Ativo,4.43,Acima 5 SM,EAD
44,Direito,2023.2,Evadido,4.18,Acima 5 SM,Presencial
45,Direito,2022.1,Ativo,5.55,Até 1 SM,EAD
46,Engenharia,2024.1,Evadido,6.78,Até 1 SM,EAD
47,Direito,2024.1,Ativo,9.21,1-3 SM,Presencial
48,Pedagogia,2022.2,Trancado,8.36,3-5 SM,Presencial
49,Direito,2022.1,Ativo,8.46,1-3 SM,Presencial
50,TI,2022.2,Ativo,6.55,3-5 SM,EAD
51,TI,2023.1,Ativo,6.08,Até 1 SM,Presencial
52,TI,2022.2,Trancado,6.23,Acima 5 SM,Presencial
53,TI,2022.2,Ativo,9.93,1-3 SM,EAD
54,Pedagogia,2024.1,Ativo,4.24,Acima 5 SM,Presencial
55,Medicina,2024.1,Ativo,9.2,1-3 SM,EAD
56,Engenharia,2024.1,Evadido,7.47,Até 1 SM,Presencial
57,TI,2023.1,Ativo,6.63,Até 1 SM,Presencial
58,Direito,2024.1,Formado,8.35,Até 1 SM,Presencial
59,TI,2022.1,Ativo,6.92,1-3 SM,EAD
60,Direito,2023.2,Ativo,9.24,3-5 SM,Presencial
61,Direito,2022.1,Ativo,9.4,1-3 SM,EAD
62,TI,2022.1,Ativo,6.53,3-5 SM,EAD
63,Pedagogia,2024.1,Ativo,5.66,1-3 SM,Presencial
64,Direito,2023.2,Ativo,7.55,1-3 SM,EAD
65,Direito,2023.2,Evadido,9.47,Até 1 SM,Presencial
66,TI,2023.2,Ativo,5.26,Acima 5 SM,Presencial
67,Direito,2023.1,Ativo,7.74,Acima 5 SM,Presencial
68,Direito,2024.1,Ativo,7.79,3-5 SM,EAD
69,TI,2023.2,Ativo,8.4,Acima 5 SM,Presencial
70,TI,2023.1,Ativo,4.79,1-3 SM,Presencial
71,Engenharia,2022.2,Ativo,8.29,1-3 SM,Presencial
72,Pedagogia,2022.2,Ativo,9.45,Até 1 SM,Presencial
73,Pedagogia,2023.1,Formado,5.08,Até 1 SM,Presencial
74,Direito,2023.1,Formado,5.43,Acima 5 SM,EAD
75,Pedagogia,2024.1,Ativo,9.83,3-5 SM,EAD
76,Direito,2024.1,Ativo,5.09,Acima 5 SM,Presencial
77,Engenharia,2022.2,Evadido,9.13,Acima 5 SM,EAD
78,TI,2023.2,Ativo,6.95,Acima 5 SM,Presencial
79,TI,2022.2,Ativo,5.48,Acima 5 SM,EAD
80,TI,2023.2,Ativo,9.22,1-3 SM,Presencial
81,Pedagogia,2023.2,Evadido,6.67,3-5 SM,Presencial
82,Engenharia,2024.1,Evadido,7.09,1-3 SM,Presencial
83,Pedagogia,2022.1,Ativo,6.16,3-5 SM,EAD
84,Pedagogia,2022.1,Ativo,7.56,Até 1 SM,Presencial
85,Engenharia,2023.1,Ativo,4.98,Acima 5 SM,Presencial
86,Engenharia,2024.1,Evadido,6.35,1-3 SM,Presencial
87,Engenharia,2023.2,Ativo,9.82,3-5 SM,Presencial
88,Engenharia,2022.1,Ativo,5.55,Até 1 SM,Presencial
89,TI,2023.2,Evadido,7.94,Até 1 SM,EAD
90,Medicina,2022.1,Ativo,5.95,Acima 5 SM,EAD
91,Medicina,2022.1,Evadido,8.64,3-5 SM,Presencial
92,Engenharia,2022.1,Ativo,4.79,1-3 SM,EAD
93,Medicina,2024.1,Ativo,9.82,Acima 5 SM,Presencial
94,Medicina,2022.2,Ativo,6.72,1-3 SM,EAD
95,Engenharia,2023.2,Evadido,5.42,Até 1 SM,EAD
96,Medicina,2024.1,Formado,4.44,1-3 SM,Presencial
97,Pedagogia,2024.1,Formado,5.02,1-3 SM,EAD
98,Direito,2024.1,Ativo,7.12,Acima 5 SM,Presencial
99,Direito,2024.1,Evadido,6.02,1-3 SM,Presencial
100,Engenharia,2024.1,Ativo,8.97,Acima 5 SM,EAD
101,TI,2023.1,Ativo,6.59,Até 1 SM,Presencial
102,Engenharia,2023.2,Formado,5.49,Acima 5 SM,Presencial
103,TI,2024.1,Ativo,7.7,Acima 5 SM,Presencial
104,Direito,2023.2,Ativo,8.24,3-5 SM,EAD
105,Engenharia,2023.1,Ativo,5.0,1-3 SM,Presencial
106,Pedagogia,2023.1,Ativo,5.01,Até 1 SM,Presencial
107,Medicina,2023.2,Ativo,4.22,Acima 5 SM,EAD
108,TI,2022.1,Ativo,8.42,Até 1 SM,EAD
109,Medicina,2022.2,Ativo,7.98,3-5 SM,Presencial
110,Medicina,2022.1,Formado,6.85,1-3 SM,Presencial
111,Engenharia,2022.1,Formado,9.07,Acima 5 SM,Presencial
112,Medicina,2022.1,Ativo,8.83,1-3 SM,Presencial
113,Pedagogia,2024.1,Ativo,7.51,3-5 SM,Presencial
114,Medicina,2023.1,Ativo,9.21,3-5 SM,EAD
115,Engenharia,2022.1,Ativo,5.24,Até 1 SM,Presencial
116,Pedagogia,2023.1,Ativo,4.67,Acima 5 SM,Presencial
117,Direito,2023.2,Evadido,5.62,Até 1 SM,Presencial
118,Medicina,2022.2,Ativo,4.34,3-5 SM,EAD
119,Engenharia,2023.2,Ativo,7.19,1-3 SM,Presencial
120,Direito,2023.2,Ativo,9.62,Até 1 SM,EAD
121,Direito,2024.1,Ativo,4.24,Até 1 SM,Presencial
122,TI,2022.2,Formado,4.73,1-3 SM,Presencial
123,Pedagogia,2023.2,Evadido,6.71,Até 1 SM,Presencial
124,Medicina,2023.2,Ativo,9.6,1-3 SM,Presencial
125,Engenharia,2022.2,Formado,5.9,Acima 5 SM,Presencial
126,TI,2022.2,Ativo,7.04,1-3 SM,Presencial
127,Pedagogia,2023.2,Formado,4.25,Acima 5 SM,Presencial
128,TI,2022.2,Evadido,4.89,1-3 SM,EAD
129,Pedagogia,2023.2,Ativo,9.92,3-5 SM,Presencial
130,Pedagogia,2023.2,Ativo,9.79,3-5 SM,EAD
131,Medicina,2024.1,Ativo,4.03,Acima 5 SM,Presencial
132,Pedagogia,2022.1,Ativo,9.71,Acima 5 SM,Presencial
133,TI,2023.2,Evadido,7.83,3-5 SM,Presencial
134,Pedagogia,2023.1,Ativo,9.21,Acima 5 SM,Presencial
135,Medicina,2022.1,Ativo,6.73,1-3 SM,Presencial
136,Medicina,2022.1,Formado,7.09,1-3 SM,Presencial
137,TI,2022.1,Trancado,6.93,3-5 SM,Presencial
138,Direito,2024.1,Ativo,8.0,Até 1 SM,Presencial
139,Direito,2023.2,Ativo,4.84,1-3 SM,Presencial
140,Pedagogia,2024.1,Ativo,4.18,Acima 5 SM,EAD
141,Engenharia,2023.2,Ativo,5.85,Até 1 SM,EAD
142,Pedagogia,2024.1,Formado,8.23,Até 1 SM,EAD
143,TI,2024.1,Ativo,5.21,1-3 SM,EAD
144,TI,2023.1,Ativo,8.04,1-3 SM,Presencial
145,TI,2024.1,Ativo,9.82,Até 1 SM,Presencial
146,TI,2022.2,Ativo,4.56,Até 1 SM,EAD
147,TI,2023.1,Evadido,8.04,3-5 SM,Presencial
148,Medicina,2024.1,Formado,6.66,Acima 5 SM,Presencial
149,Direito,2022.1,Ativo,9.21,3-5 SM,Presencial
150,TI,2022.2,Ativo,5.06,1-3 SM,Presencial
151,Engenharia,2022.2,Ativo,8.16,3-5 SM,Presencial
152,Engenharia,2022.2,Formado,9.03,3-5 SM,EAD
153,Engenharia,2023.1,Formado,9.67,3-5 SM,Presencial
154,Engenharia,2024.1,Ativo,8.1,3-5 SM,Presencial
155,Medicina,2024.1,Evadido,6.98,Acima 5 SM,EAD
156,Engenharia,2022.1,Evadido,7.71,Acima 5 SM,Presencial
157,TI,2022.1,Ativo,9.21,Até 1 SM,Presencial
158,Pedagogia,2022.2,Formado,7.42,1-3 SM,Presencial
159,Engenharia,2022.1,Ativo,4.18,3-5 SM,EAD
160,Medicina,2023.1,Ativo,9.59,Até 1 SM,EAD
161,Medicina,2024.1,Ativo,8.14,Até 1 SM,Presencial
162,Engenharia,2022.2,Ativo,8.06,Até 1 SM,EAD
163,Pedagogia,2022.1,Ativo,5.29,Acima 5 SM,Presencial
164,Engenharia,2023.1,Evadido,7.95,3-5 SM,EAD
165,Medicina,2023.1,Ativo,6.36,3-5 SM,EAD
166,Direito,2022.1,Evadido,7.91,1-3 SM,EAD
167,TI,2024.1,Ativo,4.64,3-5 SM,Presencial
168,Medicina,2022.1,Ativo,7.95,3-5 SM,EAD
169,Engenharia,2022.2,Ativo,10.0,Até 1 SM,EAD
170,TI,2022.1,Ativo,4.29,1-3 SM,Presencial
171,Engenharia,2023.1,Evadido,9.86,3-5 SM,EAD
172,Engenharia,2022.1,Ativo,6.44,Acima 5 SM,Presencial
173,Direito,2024.1,Ativo,9.22,3-5 SM,EAD
174,TI,2023.2,Ativo,8.69,Até 1 SM,Presencial
175,TI,2022.1,Evadido,7.4,Acima 5 SM,EAD
176,Direito,2024.1,Formado,8.43,Até 1 SM,Presencial
177,Medicina,2024.1,Evadido,9.27,3-5 SM,Presencial
178,Engenharia,2023.1,Ativo,6.42,Acima 5 SM,Presencial
179,Pedagogia,2024.1,Ativo,5.96,1-3 SM,Presencial
180,Engenharia,2024.1,Ativo,8.01,1-3 SM,Presencial
181,Engenharia,2024.1,Ativo,8.85,Acima 5 SM,Presencial
182,Medicina,2024.1,Ativo,8.57,Acima 5 SM,Presencial
183,Engenharia,2022.2,Ativo,8.79,Até 1 SM,Presencial
184,Direito,2022.2,Ativo,6.61,Acima 5 SM,Presencial
185,Direito,2023.1,Ativo,8.91,Até 1 SM,EAD
186,TI,2022.1,Evadido,4.72,3-5 SM,Presencial
187,Pedagogia,2024.1,Ativo,7.27,Até 1 SM,EAD
188,Engenharia,2022.1,Ativo,4.03,Acima 5 SM,EAD
189,Engenharia,2022.1,Evadido,5.95,Acima 5 SM,Presencial
190,Medicina,2023.1,Ativo,6.2,3-5 SM,Presencial
191,Direito,2024.1,Evadido,6.38,Acima 5 SM,EAD
192,Pedagogia,2024.1,Ativo,8.17,Acima 5 SM,Presencial
193,TI,2023.2,Ativo,6.33,1-3 SM,Presencial
194,Direito,2022.1,Formado,6.69,1-3 SM,Presencial
195,TI,2022.1,Evadido,5.43,3-5 SM,EAD
196,Medicina,2022.2,Evadido,6.24,Até 1 SM,Presencial
197,Medicina,2023.2,Ativo,5.36,1-3 SM,Presencial
198,Engenharia,2022.2,Ativo,4.44,Até 1 SM,EAD
199,Pedagogia,2022.2,Ativo,7.62,Acima 5 SM,EAD
200,TI,2022.2,Ativo,8.01,1-3 SM,Presencial
201,Direito,2023.1,Formado,7.72,3-5 SM,Presencial
202,Medicina,2023.1,Ativo,6.78,3-5 SM,EAD
203,Engenharia,2022.2,Trancado,6.28,3-5 SM,Presencial
204,Engenharia,2023.2,Ativo,9.18,1-3 SM,Presencial
205,TI,2022.1,Ativo,7.11,Até 1 SM,Presencial
206,Medicina,2023.2,Ativo,6.88,Acima 5 SM,EAD
207,Pedagogia,2024.1,Formado,4.15,Até 1 SM,Presencial
208,Medicina,2023.1,Evadido,6.05,Até 1 SM,EAD
209,TI,2022.1,Formado,6.28,Acima 5 SM,EAD
210,TI,2022.1,Evadido,6.39,Acima 5 SM,Presencial
211,Medicina,2024.1,Evadido,7.48,1-3 SM,Presencial
212,TI,2024.1,Formado,7.2,1-3 SM,Presencial
213,Medicina,2022.2,Ativo,7.65,1-3 SM,Presencial
214,Direito,2023.1,Ativo,8.59,1-3 SM,Presencial
215,Medicina,2023.1,Ativo,8.88,1-3 SM,EAD
216,Medicina,2023.2,Trancado,8.31,Acima 5 SM,Presencial
217,TI,2022.2,Formado,9.73,Até 1 SM,EAD
218,TI,2022.2,Ativo,4.11,1-3 SM,Presencial
219,Engenharia,2022.2,Evadido,5.17,1-3 SM,Presencial
220,Engenharia,2022.2,Formado,4.05,Até 1 SM,Presencial
221,Direito,2023.1,Ativo,7.88,1-3 SM,Presencial
